Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1129.164485
1	Clockticks	4168285800000
1	Instructions Retired	8943958800000
1	CPI Rate	0.466045
1	MUX Reliability	0.998805
1	Front-End Bound	20.0
2	Front-End Latency	9.0
3	ICache Misses	0.6
3	ITLB Overhead	0.2
3	Branch Resteers	2.0
4	Mispredicts Resteers	1.7
4	Clears Resteers	0.1
4	Unknown Branches	0.3
3	DSB Switches	3.2
3	Length Changing Prefixes	0.0
3	MS Switches	3.4
2	Front-End Bandwidth	11.0
3	Front-End Bandwidth MITE	18.2
3	Front-End Bandwidth DSB	14.7
3	Front-End Bandwidth LSD	1.0
3	(Info) DSB Coverage	47.0
3	(Info) LSD Coverage	13.6
1	Bad Speculation	3.3
2	Branch Mispredict	3.2
2	Machine Clears	0.1
1	Back-End Bound	19.3
2	Memory Bound	6.8
3	L1 Bound	6.5
4	DTLB Overhead	2.1
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	5.9
4	FB Full	35.9
3	L2 Bound	1.3
3	L3 Bound	1.8
4	Contested Accesses	0.2
4	Data Sharing	0.1
4	L3 Latency	7.1
4	SQ Full	1.0
3	DRAM Bound	4.5
4	Memory Bandwidth	21.6
4	Memory Latency	67.7
5	Local DRAM	12.7
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	7.4
4	Store Latency	26.6
5	Store L2	6.1
5	Store L3	3.4
5	Store Memory	17.1
4	False Sharing	0.0
4	Split Stores	0.6
4	DTLB Store Overhead	0.3
2	Core Bound	12.5
3	Divider	0.0
3	Port Utilization	39.9
4	Cycles of 0 Ports Utilized	43.8
4	Cycles of 1 Port Utilized	6.7
4	Cycles of 2 Ports Utilized	10.1
4	Cycles of 3+ Ports Utilized	27.0
5	Port 0	29.5
5	Port 1	29.6
5	Port 2	38.2
5	Port 3	39.0
5	Port 4	32.7
5	Port 5	31.1
5	Port 6	45.8
5	Port 7	17.7
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	57.4
2	General Retirement	52.2
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.2
3	Assists	0.0
1	Total Thread Count	108
1	Paused Time	0.0
1	Frame Count	594
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2767600332
1	Collection start time	19:27:15 16/12/2018 UTC
1	Collection stop time	19:46:05 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998525
2	Logical CPU Count	32
